product_a,product_b,effect,p
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_B2D6C1E6 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_9A42151D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_444AA6EB | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2E1CCAFA | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.5785,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.589,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_1905F18D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.4529,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_74BD7946 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_3B880000 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.3139,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_08F6083D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.8086,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.902,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_3B880000 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.3342,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_3EF4F8F5 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.7851,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_3EF4F8F5 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_2757963A | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AF79CB08 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.8479,0.0
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_D1C41E8A | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.5747,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_C8230F0F | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_C8230F0F | PPG_ATTR4_AE186179 | PPG_ATTR5_C8230F0F | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.3066,0.0
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_D1C41E8A | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_2757963A | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AF79CB08 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.8467,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.7221,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_2757963A | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AF79CB08 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.4413,0.0
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_A15E84BA | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_BCE417A1 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.6529,0.0
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_B2D6C1E6 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_9A42151D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.446,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_74BD7946 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.6988,0.0
