rgm_ppg,subcategory_nm,format,brand_nm,uom,pack_size,pack_count,total_revenue,group,group_name,price_tier,shelf_presence,bumpiness,price_moves,growth,seasonality,shelf_trend,promo_activity,promo_share,promo_lift
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_42E7BE8A | PPG_ATTR8_A2614F5B | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_7FC8EF04,ML,480,1,2271898.5168,1,Steady core,0.6667,93.482,0.2714,0.081,-0.0051,0.2838,-0.0495,6.4838,0.0887,-0.04
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_E8FEB8CF | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_7FC8EF04,ML,500,1,1404317.6915,1,Steady core,0.8571,87.5459,0.1113,0.043,-0.0003,0.2994,0.0014,0.3063,0.0018,-0.0052
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_7410C119 | PPG_ATTR7_164D04A0 | PPG_ATTR8_9694550C | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,GEL,HASH_7FC8EF04,ML,720,1,327466.88,1,Steady core,1.0,57.4984,0.2476,0.2949,0.0112,0.1302,-0.7304,3.2136,0.0452,-0.0873
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_43CEB958 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,50,1,4572308.73,1,Steady core,0.8403,80.4143,0.1891,0.1192,0.0022,0.2891,0.0927,0.9727,0.0105,-0.0147
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,30,1,2637055.3672,1,Steady core,0.7951,5.4165,0.1365,0.0438,0.0017,0.0578,0.0073,0.1028,0.0207,0.0429
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,40,1,32304390.5406,1,Steady core,0.8194,84.6929,0.3566,0.0837,0.0022,0.5081,-0.0032,17.8582,0.1738,0.0378
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_EA2917A9 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,20,1,2331322.5805,1,Steady core,0.9514,73.514,0.1425,0.0338,0.0018,0.4358,0.0206,1.9112,0.0246,0.0126
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_8CCB97F4 | PPG_ATTR8_028C9CCB | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,44,1,765644.19,1,Steady core,0.5799,81.0625,0.1028,0.1047,0.0002,0.1298,0.1197,0.1762,0.0021,0.0028
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,30,1,3071747.47,2,Shrinking shelf,0.4757,61.6431,0.8066,0.7414,0.0137,0.2533,-1.0919,14.1778,0.1475,-0.3717
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,40,1,12128863.2619,1,Steady core,0.7361,77.8725,0.3582,0.1002,-0.0002,0.4237,-0.024,17.0183,0.216,0.0797
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_FFFF24AF | PPG_ATTR8_3B880000 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_7FC8EF04,CT,60,1,3207822.856,2,Shrinking shelf,0.4826,64.9166,0.569,0.6334,0.0194,0.3043,-1.033,10.7776,0.1639,-0.2509
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_42E7BE8A | PPG_ATTR8_BCE14A93 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,POWDER,HASH_7FC8EF04,GM,1000,1,508814.1775,1,Steady core,0.375,72.895,0.0738,0.0928,0.0003,0.6189,0.0578,0.3983,0.0052,0.0012
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_A87D5006 | PPG_ATTR8_BCE14A93 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,POWDER,HASH_7FC8EF04,GM,1000,1,895930.95,1,Steady core,0.5,62.1336,0.1751,0.1765,-0.0006,0.3303,0.0096,3.8307,0.0622,0.1266
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_3B880000 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,60,1,9441669.4596,1,Steady core,0.6424,80.9807,0.4204,0.1691,-0.0018,0.1663,0.0039,6.2305,0.0655,0.0357
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_43CEB958 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,50,1,1370495.82,1,Steady core,0.7812,77.2495,0.3692,0.3306,0.0046,0.0479,-0.6303,14.7955,0.1827,-0.2371
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,30,1,7479781.8315,1,Steady core,0.7465,84.9823,0.5737,0.1746,-0.0011,0.3082,0.076,9.701,0.0747,-0.0957
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,24,1,1147574.175,0,Promo leaders,0.8438,3.3468,0.5749,0.5799,0.0001,0.1193,-0.075,3.3442,0.9996,0.5522
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,40,1,548343.28,1,Steady core,0.5938,87.0611,0.1512,0.0592,0.0115,0.386,0.263,0.2969,0.0024,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_F4D31E69 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,45,1,1493813.498,1,Steady core,0.3646,50.5385,0.3807,0.4363,-0.0093,0.2064,0.3887,8.1836,0.1299,-0.0082
