rgm_ppg,subcategory_nm,format,brand_nm,uom,pack_size,pack_count,total_revenue,group,group_name,price_tier,shelf_presence,bumpiness,price_moves,growth,seasonality,shelf_trend,promo_activity,promo_share,promo_lift
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_973D3C88 | PPG_ATTR6_92B72C5A | PPG_ATTR7_5964F492 | PPG_ATTR8_7FE34FAD | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,70,1,1169722.6367,1,Steady core,0.3229,1.5107,0.1153,0.3227,-0.0009,0.2549,0.002,0.6752,0.328,-0.0114
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_973D3C88 | PPG_ATTR6_92B72C5A | PPG_ATTR7_5964F492 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,25,1,5843987.1878,1,Steady core,0.9688,54.1911,0.398,0.2714,-0.0025,0.4721,-0.0035,14.9569,0.2969,0.131
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_09111DF0 | PPG_ATTR8_556A0B88 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,72,1,228491.32,1,Steady core,0.4097,1.0482,0.207,0.6001,0.004,0.3166,0.029,0.4036,0.5532,0.1842
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_09111DF0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,24,1,1394429.9991,0,Promo leaders,0.9167,39.1457,0.3492,0.3542,0.025,0.0311,0.3432,18.415,0.5568,0.4141
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_09111DF0 | PPG_ATTR8_F4D31E69 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,45,1,101851.7,1,Steady core,0.3715,1.3076,0.0856,0.3397,-0.0056,0.5587,0.0112,0.4039,0.3105,0.038
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_099A7F43 | PPG_ATTR8_04AA706D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,68,1,4133196.635,1,Steady core,0.7049,25.5784,0.2681,0.3666,0.0118,0.0653,-0.2104,7.6459,0.3534,-0.2362
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_099A7F43 | PPG_ATTR8_B44EA54A | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,22,1,2146412.1177,1,Steady core,0.8993,37.8287,0.4357,0.506,0.0125,0.0757,-0.3306,12.7952,0.357,-0.5928
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_099A7F43 | PPG_ATTR8_CD4F119F | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,100,1,814085.18,1,Steady core,0.2812,1.9675,0.1418,0.7029,0.0001,0.1724,-0.0078,0.6107,0.4035,-0.3151
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_B9BA36CA | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_F4D31E69 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,45,1,725101.44,0,Promo leaders,0.8264,28.3944,0.3833,0.5331,0.0167,0.0652,-0.1133,12.3418,0.4857,0.4612
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_ED5B623D | PPG_ATTR6_92B72C5A | PPG_ATTR7_09111DF0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,24,1,1539249.7025,0,Promo leaders,0.9583,44.4205,0.3849,0.4327,0.0259,0.0389,0.1557,22.341,0.5824,0.4635
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_ED5B623D | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_F4D31E69 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,45,1,42015.0,1,Steady core,0.2257,0.8821,0.1751,1.0299,0.0023,0.0,0.0237,0.2542,0.3732,
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_73A77D65 | PPG_ATTR4_AE186179 | PPG_ATTR5_A92418DA | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_25519A9F | PPG_ATTR8_B42BC8E3 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,POWDER,HASH_73A77D65,GM,21,1,39641.16,1,Steady core,0.875,44.7107,0.1182,0.3162,0.0108,0.1672,-0.3464,17.3328,0.4008,0.0588
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_AC4EF538 | PPG_ATTR4_AE186179 | PPG_ATTR5_2E83D37A | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_25519A9F | PPG_ATTR8_76846F25 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,POWDER,HASH_AC4EF538,GM,17,1,10754.91,1,Steady core,0.75,22.4529,0.1466,0.2157,-0.0229,0.0,0.7111,6.6714,0.2397,
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_AC4EF538 | PPG_ATTR4_AE186179 | PPG_ATTR5_35B23AB3 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_AC4EF538,CT,40,1,112656.0229,1,Steady core,0.3264,22.948,0.2784,0.8713,0.0012,0.0,0.0378,5.8377,0.3121,
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_AC4EF538 | PPG_ATTR4_AE186179 | PPG_ATTR5_8461DF8D | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_AC4EF538,CT,40,1,542350.8835,1,Steady core,0.2882,26.5817,0.2885,0.8397,0.0101,0.4266,-0.2747,9.9164,0.4533,0.1313
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_AC4EF538 | PPG_ATTR4_AE186179 | PPG_ATTR5_86109CE4 | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_25519A9F | PPG_ATTR8_BA319A8D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,POWDER,HASH_AC4EF538,GM,20,1,11330.91,1,Steady core,0.625,20.7217,0.0363,0.2979,0.007,0.0501,-0.1347,4.5609,0.2106,-0.0887
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_AC4EF538 | PPG_ATTR4_AE186179 | PPG_ATTR5_86109CE4 | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_80892269 | PPG_ATTR8_BA319A8D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,POWDER,HASH_AC4EF538,GM,20,1,66452.1097,1,Steady core,1.0,52.5948,0.1509,0.2346,0.0044,0.0841,-0.0561,22.2139,0.4594,0.1069
PPG_ATTR1_AC4EF538 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_AC4EF538 | PPG_ATTR4_AE186179 | PPG_ATTR5_CEE8DE87 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_9CC14087 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_AC4EF538,CT,65,1,723921.4413,1,Steady core,0.4479,53.3605,0.2108,0.3894,0.0034,0.3013,0.0195,21.5205,0.4806,0.1076
PPG_ATTR1_ADF6245C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_2A25F6E6 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_2A25F6E6 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_12E2FBC2 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_2A25F6E6,ML,400,1,179669.48,1,Steady core,0.4762,3.3162,1.4608,0.5301,-0.0207,0.0,-0.4259,0.1827,0.0139,
PPG_ATTR1_ADF6245C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_2A25F6E6 | PPG_ATTR4_AE186179 | PPG_ATTR5_33FD3D8A | PPG_ATTR6_7410C119 | PPG_ATTR7_164D04A0 | PPG_ATTR8_9694550C | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,GEL,HASH_2A25F6E6,ML,720,1,628540.13,1,Steady core,0.5,57.8535,0.075,0.0475,-0.0006,0.6493,0.1168,2.9791,0.0569,0.0045
PPG_ATTR1_C8230F0F | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_C8230F0F | PPG_ATTR4_AE186179 | PPG_ATTR5_058A42DF | PPG_ATTR6_793F866E | PPG_ATTR7_1D59B3C4 | PPG_ATTR8_43CEB958 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_C8230F0F,CT,50,1,250373.9,1,Steady core,0.3403,15.3231,0.2492,0.4677,0.0282,0.1452,0.1353,7.2455,0.4441,0.1303
PPG_ATTR1_C8230F0F | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_C8230F0F | PPG_ATTR4_AE186179 | PPG_ATTR5_C8230F0F | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_C8230F0F,CT,30,1,3262259.9766,0,Promo leaders,0.6146,28.5474,0.7146,0.6956,-0.0003,0.1907,0.1842,14.2204,0.563,0.4127
PPG_ATTR1_C8230F0F | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_C8230F0F | PPG_ATTR4_AE186179 | PPG_ATTR5_C8230F0F | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_CD4F119F | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_C8230F0F,CT,100,1,537915.55,1,Steady core,0.3333,2.0362,0.2341,0.5448,-0.0084,0.1358,0.0225,0.8188,0.5222,0.0141
PPG_ATTR1_D73C4117 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_0559DD57 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_6911E774 | PPG_ATTR6_85D5A5D4 | PPG_ATTR7_164D04A0 | PPG_ATTR8_A57E7EC2 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,POWDER,HASH_0559DD57,GM,75,1,787144.3102,1,Steady core,1.0,4.9333,0.707,0.4858,0.0025,0.1857,-0.0589,1.1221,0.2734,-0.0748
PPG_ATTR1_DA2953A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DA2953A2 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_DA2953A2 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_C3B1F2E3 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_DA2953A2,ML,750,1,5993.21,1,Steady core,0.0476,0.1172,0.0139,0.2009,-0.0005,0.2096,-0.0005,0.0357,0.3118,0.0149
PPG_ATTR1_DA2953A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DA2953A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_DA2953A2 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DA2953A2,CT,30,1,138415.9425,1,Steady core,0.25,1.2578,0.0801,0.4602,0.0003,0.3237,0.0018,0.1105,0.1627,0.0047
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_4FD27A4E | PPG_ATTR5_241A0BB8 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_0400AD8B | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,TABLETS,HASH_DC25081C,CT,6,1,187551.43,1,Steady core,0.5,1.7461,0.1517,0.3528,0.0015,0.5164,-0.0057,0.5937,0.3184,-0.2295
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_4FD27A4E | PPG_ATTR5_241A0BB8 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_96FC7120 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,TABLETS,HASH_DC25081C,CT,36,1,78631.29,1,Steady core,0.1667,0.8436,0.3193,0.5825,-0.0113,0.0917,-0.0025,0.3714,0.3646,0.2373
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_4FD27A4E | PPG_ATTR5_55EC929C | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_CCFD05EB | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,TABLETS,HASH_DC25081C,CT,3,1,106064.17,1,Steady core,0.3333,1.2319,0.0835,0.3827,0.001,0.2314,-0.0012,0.549,0.4725,0.0539
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_A20E9B75 | PPG_ATTR5_416804E4 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_E8FEB8CF | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_DC25081C,ML,500,1,291476.6667,1,Steady core,0.5238,2.1782,0.1773,0.2416,-0.0032,0.2136,0.0036,1.0129,0.5708,0.1675
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_3222F9B8 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_9CC14087 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,65,1,22115.26,1,Steady core,0.0625,0.8943,0.0502,0.7667,-0.0168,0.1811,0.045,0.3178,0.3846,-0.0909
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_6EFB65BC | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_556A0B88 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,72,1,314998.63,1,Steady core,0.1979,1.6652,0.1023,0.5602,-0.0004,0.1884,-0.0008,0.5467,0.3783,-0.2581
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_6EFB65BC | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,25,1,84695.83,1,Steady core,0.1632,1.4726,0.1315,0.6732,0.0011,0.1938,-0.0048,0.6147,0.4499,-0.3343
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_9F00F326 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_DC25081C,CT,25,1,31695.7,1,Steady core,0.1562,1.0768,0.0247,0.3709,-0.0038,0.0434,0.0117,0.394,0.4249,-0.0539
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_C502F34C | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_556A0B88 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,72,1,24689.0,1,Steady core,0.0312,0.673,0.0255,0.7341,0.0007,0.1565,0.0046,0.1863,0.3705,0.0239
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_C502F34C | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,30,1,61055.77,1,Steady core,0.2361,1.2131,0.0648,0.4139,-0.0023,0.0842,0.0101,0.4815,0.5071,0.0332
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_E8B84D45 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,25,1,27498.17,1,Steady core,0.1042,1.0998,0.0626,0.6149,0.0032,0.1424,-0.004,0.4394,0.461,0.0322
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_FA5E9215 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_556A0B88 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,72,1,169573.18,1,Steady core,0.1944,1.7024,0.0831,0.4922,-0.0001,0.1073,-0.0,0.4235,0.2207,-0.1379
PPG_ATTR1_DC25081C | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_DC25081C | PPG_ATTR4_AE186179 | PPG_ATTR5_FA5E9215 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_DC25081C,CT,25,1,79740.9,1,Steady core,0.191,1.4703,0.0673,0.4912,0.0013,0.5785,-0.0037,0.3584,0.247,0.1191
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_83F5974E | PPG_ATTR9_A87FF679 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,4,633284.12,1,Steady core,0.3636,1.3628,0.2366,0.5688,-0.0,0.3311,0.0043,0.511,0.3807,0.0202
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_83F5974E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,1,1437549.3559,1,Steady core,0.5455,1.2601,1.2552,0.7945,0.0017,0.1916,-0.0033,0.475,0.4029,0.0237
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_83F5974E | PPG_ATTR9_C81E728D | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,2,1595046.8384,1,Steady core,0.6364,2.7489,0.6353,0.5779,-0.0024,0.2956,-0.0073,1.0219,0.4681,0.1461
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_83F5974E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,1,4927860.217,0,Promo leaders,0.7273,40.8146,0.8705,0.6416,0.0046,0.4727,-0.0717,22.0231,0.6003,0.5977
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_83F5974E | PPG_ATTR9_C81E728D | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,2,8258062.4211,1,Steady core,0.8182,48.8393,0.3661,0.2244,-0.0013,0.2543,0.0019,15.8041,0.3036,0.0286
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_83F5974E | PPG_ATTR9_C9F0F895 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,8,236742.57,1,Steady core,0.0909,0.6165,0.1685,1.2045,0.0006,0.3832,-0.0009,0.218,0.3077,0.0458
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_C37DE1E7 | PPG_ATTR8_83F5974E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,1,18094885.3343,0,Promo leaders,1.0,70.01,0.8432,0.2111,-0.0001,0.5119,-0.0303,36.6318,0.6103,0.432
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_5918E248 | PPG_ATTR7_C37DE1E7 | PPG_ATTR8_83F5974E | PPG_ATTR9_C9F0F895 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_E73B26E8,ML,250,8,1006158.66,1,Steady core,0.1818,1.2921,0.3937,0.6591,0.0017,0.416,-0.0014,0.7121,0.6271,0.359
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_52B80579 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_CCFD05EB | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,TABLETS WITH SOLUBLE FILM,HASH_E73B26E8,CT,3,1,3339836.8826,1,Steady core,1.0,44.6477,0.3958,0.366,0.0016,0.3382,-0.0856,21.4078,0.489,0.2848
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_D24FDC8C | PPG_ATTR6_5918E248 | PPG_ATTR7_0BC77267 | PPG_ATTR8_51F67FFE | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,FRESHENER,LIQUID,HASH_E73B26E8,GM,25,1,119678.0524,1,Steady core,1.0,0.3371,0.3415,0.5453,-0.0062,0.2857,-0.0031,0.0149,0.0344,0.0083
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_D24FDC8C | PPG_ATTR6_5918E248 | PPG_ATTR7_5964F492 | PPG_ATTR8_FF5704F1 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,FRESHENER,LIQUID,HASH_E73B26E8,ML,4,1,1878037.1251,1,Steady core,1.0,47.0875,0.3043,0.3046,0.0016,0.1673,0.0003,12.0843,0.1746,0.0128
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_D24FDC8C | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_FF5704F1 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,FRESHENER,LIQUID,HASH_E73B26E8,ML,4,1,56707.8289,1,Steady core,0.8333,0.4748,0.1839,0.2865,0.002,0.1172,-0.0029,0.2489,0.5761,0.1892
